search_name,advanced_phrase,
CO2 Emissionen,"(↵    (emobility OR e-mobility OR ""e mobility"" OR brennstoffzell* OR ""e auto"" OR ""e autos"" OR eauto* OR ""elektro antrieb"" OR ""elektro antriebe"" OR ""elektro antrieben"" OR ""elektro antriebs"" OR ""elektro auto"" OR ""elektro autos"" OR ""elektro fahrzeug"" OR ""elektro fahrzeuge"" OR ""elektro fahrzeugen"" OR ""elektro fahrzeugs"" OR ""elektro mobil"" OR ""elektro mobile"" OR ""elektro mobilen"" OR ""elektro mobils"" OR ""elektro motor"" OR ""elektro motoren"" OR ""elektro motors"" OR ""elektroantrieb*"" OR ""elektroauto*"" OR ""elektrofahr*"" OR ""elektromobil*"" OR elektromotor* OR emobilit*)↵    AND (co2 OR emissionen OR emission*)↵):language=de;field=title",
Energieffizienz,"(↵    (emobility OR e-mobility OR ""e mobility"" OR brennstoffzell* OR ""e auto"" OR ""e autos"" OR eauto* OR ""elektro antrieb"" OR ""elektro antriebe"" OR ""elektro antrieben"" OR ""elektro antriebs"" OR ""elektro auto"" OR ""elektro autos"" OR ""elektro fahrzeug"" OR ""elektro fahrzeuge"" OR ""elektro fahrzeugen"" OR ""elektro fahrzeugs"" OR ""elektro mobil"" OR ""elektro mobile"" OR ""elektro mobilen"" OR ""elektro mobils"" OR ""elektro motor"" OR ""elektro motoren"" OR ""elektro motors"" OR ""elektroantrieb*"" OR ""elektroauto*"" OR ""elektrofahr*"" OR ""elektromobil*"" OR elektromotor* OR emobilit*)↵    AND (*effizien* OR energieffizienz OR energieffizient* OR stromverbrauch)↵):language=de;field=title",
Energiespeicher,"(↵    (emobility OR e-mobility OR ""e mobility"" OR brennstoffzell* OR ""e auto"" OR ""e autos"" OR eauto* OR ""elektro antrieb"" OR ""elektro antriebe"" OR ""elektro antrieben"" OR ""elektro antriebs"" OR ""elektro auto"" OR ""elektro autos"" OR ""elektro fahrzeug"" OR ""elektro fahrzeuge"" OR ""elektro fahrzeugen"" OR ""elektro fahrzeugs"" OR ""elektro mobil"" OR ""elektro mobile"" OR ""elektro mobilen"" OR ""elektro mobils"" OR ""elektro motor"" OR ""elektro motoren"" OR ""elektro motors"" OR ""elektroantrieb*"" OR ""elektroauto*"" OR ""elektrofahr*"" OR ""elektromobil*"" OR elektromotor* OR emobilit*)↵    AND (*batterie* OR batterien OR energiespeicher* OR Energiespeichersystem* OR akku* )↵):language=de;field=title",
Dieselgate,BMW NEAR/5 dieselgate,
Abgasskandal,(↵dieselgate OR abgasskandal OR dieselskandal OR ((manipulation* OR manipulier*) NEAR/3 *abgas*)↵↵):language=de,field=title
Tierversuche,(↵(Auto* OR Fahrzeug* OR automobil* OR Automobilindustrie* OR Autoindustrie* OR Auto-Industrie* OR Automobilhersteller OR PKW OR PKWs)↵AND ↵(tierversuche* OR (tests OR versuche OR experiemte OR experimentier*) NEAR/3 *tier*)↵↵):language=de,field=title
Big Data,"(↵(Auto* OR Fahrzeug* OR automobil* OR Automobilindustrie* OR Autoindustrie* OR Auto-Industrie* OR Automobilhersteller OR PKW OR PKWs)↵AND ↵(""big data"" OR datenverarbeitung* OR vernetzt* OR ""künstilche intelligenz"" OR KI:case sensitive=true OR ""machine learning"" OR ""maschinelles lernen"" OR ""deep learning"" )↵↵):language=de;field=title",
China,(↵(Auto* OR Fahrzeug* OR automobil* OR Automobilindustrie* OR Autoindustrie* OR Auto-Industrie* OR Automobilhersteller OR PKW OR PKWs)↵AND ↵(china OR chinesisch*)↵↵):language=de,field=title
Rückrufaktionen,BMW NEAR/10 (*rückruf* OR zurückgerufen*),
Rückrufe,(↵(Auto* OR Fahrzeug* OR automobil* OR Automobilindustrie* OR Autoindustrie* OR Auto-Industrie* OR Automobilhersteller OR PKW OR PKWs)↵AND ↵(*rückruf* OR zurückgerufen*)↵↵):language=de,field=title
Innovationen,"(↵(Auto* OR Fahrzeug* OR automobil* OR Automobilindustrie* OR Autoindustrie* OR Auto-Industrie* OR Automobilhersteller OR PKW OR PKWs)↵AND ↵(patent* OR innovation* OR innovativ* OR ""neue technologie*"" OR futuristisch* OR (auto* OR fahrzeug*) NEAR/5 ""der zukunft"" OR ""neue märkte"")↵↵):language=de;field=title",
Tesla Deutschland Twitter,(twitter.com/Tesla_DE OR @Tesla_DE):segment=Microblog,
Tesla Earned,"(Tesla:field=title OR #tesla):language=de ↵↵AND NOT (1698646023720128 OR twitter.com/Tesla_DE OR @Tesla_DE OR ""RT @*"")",
Bosch,Bosch:language=de,field=title↵↵AND (Auto* OR Fahrzeug* OR automobil* OR Automobilindustrie* OR Autoindustrie* OR Auto-Industrie* OR Automobilhersteller OR PKW OR PKWs)
Continental,Continental:language=de,field=title↵↵AND (Auto* OR Fahrzeug* OR automobil* OR Automobilindustrie* OR Autoindustrie* OR Auto-Industrie* OR Automobilhersteller OR PKW OR PKWs)↵↵AND NOT (lincoln NEAR/5 Continental)
Übernahmen,"((""Alfa Romeo"" OR ""Audi"" OR ""BMW"" OR ""Brilliance"" OR ""Chery"" OR ""Chevrolet"" OR ""Chrysler"" OR ""Citroën"" OR ""Dacia"" OR ""Dodge"" OR ""DS"" OR ""FAW"" OR ""Ferrari"" OR ""Fiat"" OR ""Ford"" OR ""Honda"" OR ""Hyundai"" OR ""Kia"" OR ""Lada"" OR ""Lancia"" OR ""Maruti"" OR ""Maserati"" OR ""Mazda"" OR ""Mercedes-Benz"" OR ""Mitsubishi"" OR ""Nissan"" OR ""Opel"" OR ""Porsche"" OR ""Peugeot"" OR ""Renault"" OR ""Seat"" OR ""SAIC"" OR ""Škoda Auto"" OR ""Smart"" OR ""Subaru"" OR ""Suzuki"" OR ""Tata"" OR ""Toyota"" OR ""Volkswagen"" OR ""Volvo"") ↵NEAR/10p ↵(""Alfa Romeo"" OR ""Audi"" OR ""BMW"" OR ""Brilliance"" OR ""Chery"" OR ""Chevrolet"" OR ""Chrysler"" OR ""Citroën"" OR ""Dacia"" OR ""Dodge"" OR ""DS"" OR ""FAW"" OR ""Ferrari"" OR ""Fiat"" OR ""Ford"" OR ""Honda"" OR ""Hyundai"" OR ""Kia"" OR ""Lada"" OR ""Lancia"" OR ""Maruti"" OR ""Maserati"" OR ""Mazda"" OR ""Mercedes-Benz"" OR ""Mitsubishi"" OR ""Nissan"" OR ""Opel"" OR ""Porsche"" OR ""Peugeot"" OR ""Renault"" OR ""Seat"" OR ""SAIC"" OR ""Škoda Auto"" OR ""Smart"" OR ""Subaru"" OR ""Suzuki"" OR ""Tata"" OR ""Toyota"" OR ""Volkswagen"" OR ""Volvo"") ↵NEAR/10p↵(übernimmt* OR ""sichert sich"" OR übernommen OR kauft NEAR/5 von)):language=de",
Rückrufe,"(↵(Auto* OR Fahrzeug* OR automobil* OR Automobilindustrie* OR Autoindustrie* OR Auto-Industrie* OR Automobilhersteller OR PKW OR PKWs OR ""Alfa Romeo"" OR ""Audi"" OR ""BMW"" OR ""Brilliance"" OR ""Chery"" OR ""Chevrolet"" OR ""Chrysler"" OR ""Citroën"" OR ""Dacia"" OR ""Dodge"" OR ""DS"" OR ""FAW"" OR ""Ferrari"" OR ""Fiat"" OR ""Ford"" OR ""Honda"" OR ""Hyundai"" OR ""Kia"" OR ""Lada"" OR ""Lancia"" OR ""Maruti"" OR ""Maserati"" OR ""Mazda"" OR ""Mercedes-Benz"" OR ""Mitsubishi"" OR ""Nissan"" OR ""Opel"" OR ""Porsche"" OR ""Peugeot"" OR ""Renault"" OR ""Seat"" OR ""SAIC"" OR ""Škoda Auto"" OR ""Smart"" OR ""Subaru"" OR ""Suzuki"" OR ""Tata"" OR ""Toyota"" OR ""Volkswagen"" OR ""Volvo"")↵AND ↵(*rückruf* OR zurückgerufen*)↵↵):language=de;field=title",
Neue Marke DS,"(↵(Auto* OR Fahrzeug* OR automobil* OR Automobilindustrie* OR Autoindustrie* OR Auto-Industrie* OR Automobilhersteller OR PKW OR PKWs OR ""Alfa Romeo"" OR ""Audi"" OR ""BMW"" OR ""Brilliance"" OR ""Chery"" OR ""Chevrolet"" OR ""Chrysler"" OR ""Citroën"" OR ""Dacia"" OR ""Dodge"" OR ""DS"" OR ""FAW"" OR ""Ferrari"" OR ""Fiat"" OR ""Ford"" OR ""Honda"" OR ""Hyundai"" OR ""Kia"" OR ""Lada"" OR ""Lancia"" OR ""Maruti"" OR ""Maserati"" OR ""Mazda"" OR ""Mercedes-Benz"" OR ""Mitsubishi"" OR ""Nissan"" OR ""Opel"" OR ""Porsche"" OR ""Peugeot"" OR ""Renault"" OR ""Seat"" OR ""SAIC"" OR ""Škoda Auto"" OR ""Smart"" OR ""Subaru"" OR ""Suzuki"" OR ""Tata"" OR ""Toyota"" OR ""Volkswagen"" OR ""Volvo"")↵AND ↵(DS:case sensitive=true)↵↵):language=de;field=title",
Tierversuche,"(↵(Auto* OR Fahrzeug* OR automobil* OR Automobilindustrie* OR Autoindustrie* OR Auto-Industrie* OR Automobilhersteller OR PKW OR PKWs)↵AND ↵(tierversuche* OR (tests OR versuche OR experiemte OR experimentier*) NEAR/3 (*tier* OR affen))↵↵):language=de;field=title↵↵AND NOT (""keine tierversuche"")",
Autonomes Carsharing,"(↵(autonomes OR autonom*)↵NEAR/5↵(carsharing OR ""car sharing"" OR ""car-sharing"")↵↵):language=de;field=title",
Neue Marke DS,"(↵(Auto* OR Fahrzeug* OR automobil* OR Automobilindustrie* OR Autoindustrie* OR Auto-Industrie* OR Automobilhersteller OR PKW OR PKWs OR ""Alfa Romeo"" OR ""Audi"" OR ""BMW"" OR ""Brilliance"" OR ""Chery"" OR ""Chevrolet"" OR ""Chrysler"" OR ""Citroën"" OR ""Dacia"" OR ""Dodge"" OR ""DS"" OR ""FAW"" OR ""Ferrari"" OR ""Fiat"" OR ""Ford"" OR ""Honda"" OR ""Hyundai"" OR ""Kia"" OR ""Lada"" OR ""Lancia"" OR ""Maruti"" OR ""Maserati"" OR ""Mazda"" OR ""Mercedes-Benz"" OR ""Mitsubishi"" OR ""Nissan"" OR ""Opel"" OR ""Porsche"" OR ""Peugeot"" OR ""Renault"" OR ""Seat"" OR ""SAIC"" OR ""Škoda Auto"" OR ""Smart"" OR ""Subaru"" OR ""Suzuki"" OR ""Tata"" OR ""Toyota"" OR ""Volkswagen"" OR ""Volvo"")↵NEAR/10 ↵(DS:case sensitive=true)↵↵):language=de;field=title",
Denso,Denso:language=de,field=title↵↵AND (Auto* OR Fahrzeug* OR automobil* OR Automobilindustrie* OR Autoindustrie* OR Auto-Industrie* OR Automobilhersteller OR PKW OR PKWs)
ZF Friedrichshafen,ZF Friedrichshafen:language=de,field=title↵↵AND (Auto* OR Fahrzeug* OR automobil* OR Automobilindustrie* OR Autoindustrie* OR Auto-Industrie* OR Automobilhersteller OR PKW OR PKWs)
Magna,Magna:language=de,field=title↵↵AND (Auto* OR Fahrzeug* OR automobil* OR Automobilindustrie* OR Autoindustrie* OR Auto-Industrie* OR Automobilhersteller OR PKW OR PKWs)
Aisin,Aisin:language=de,field=title↵↵AND (Auto* OR Fahrzeug* OR automobil* OR Automobilindustrie* OR Autoindustrie* OR Auto-Industrie* OR Automobilhersteller OR PKW OR PKWs)
Hyundai Mobis,Hyundai Mobis:language=de,field=title↵↵AND (Auto* OR Fahrzeug* OR automobil* OR Automobilindustrie* OR Autoindustrie* OR Auto-Industrie* OR Automobilhersteller OR PKW OR PKWs)
Bridgestone,Bridgestone:language=de,field=title↵↵AND (Auto* OR Fahrzeug* OR automobil* OR Automobilindustrie* OR Autoindustrie* OR Auto-Industrie* OR Automobilhersteller OR PKW OR PKWs)
Faurecia,Faurecia:language=de,field=title↵↵AND (Auto* OR Fahrzeug* OR automobil* OR Automobilindustrie* OR Autoindustrie* OR Auto-Industrie* OR Automobilhersteller OR PKW OR PKWs)
Valeo,Valeo:language=de,field=title↵↵AND (Auto* OR Fahrzeug* OR automobil* OR Automobilindustrie* OR Autoindustrie* OR Auto-Industrie* OR Automobilhersteller OR PKW OR PKWs)
Lear,Lear:language=de,field=title↵↵AND (Auto* OR Fahrzeug* OR automobil* OR Automobilindustrie* OR Autoindustrie* OR Auto-Industrie* OR Automobilhersteller OR PKW OR PKWs)
Cummins,Cummins:language=de,field=title↵↵AND (Auto* OR Fahrzeug* OR automobil* OR Automobilindustrie* OR Autoindustrie* OR Auto-Industrie* OR Automobilhersteller OR PKW OR PKWs)
Adient,Adient:language=de,field=title↵↵AND (Auto* OR Fahrzeug* OR automobil* OR Automobilindustrie* OR Autoindustrie* OR Auto-Industrie* OR Automobilhersteller OR PKW OR PKWs)
Goodyear,Goodyear:language=de,field=title↵↵AND (Auto* OR Fahrzeug* OR automobil* OR Automobilindustrie* OR Autoindustrie* OR Auto-Industrie* OR Automobilhersteller OR PKW OR PKWs)
Weichai Power,Weichai Power:language=de,field=title↵↵AND (Auto* OR Fahrzeug* OR automobil* OR Automobilindustrie* OR Autoindustrie* OR Auto-Industrie* OR Automobilhersteller OR PKW OR PKWs)
Sumitomo Electric,Sumitomo Electric:language=de,field=title↵↵AND (Auto* OR Fahrzeug* OR automobil* OR Automobilindustrie* OR Autoindustrie* OR Auto-Industrie* OR Automobilhersteller OR PKW OR PKWs)
Yazaki,Yazaki:language=de,field=title↵↵AND (Auto* OR Fahrzeug* OR automobil* OR Automobilindustrie* OR Autoindustrie* OR Auto-Industrie* OR Automobilhersteller OR PKW OR PKWs)
Mahle,Mahle:language=de,field=title↵↵AND (Auto* OR Fahrzeug* OR automobil* OR Automobilindustrie* OR Autoindustrie* OR Auto-Industrie* OR Automobilhersteller OR PKW OR PKWs)
Fahrassistenzsysteme,"(fahrassistenzsystem* OR fahrassistenzsysteme OR fahrerassistenzsystem* OR fahrerassistenzsysteme OR Ampelassistent OR Anhänger-Stabilitätsprogramm OR Antiblockiersystem OR ABS:case sensitive=true OR Antriebsschlupfregelung OR ASR:case sensitive=true OR Traktionskontrolle OR ""Automatische Stabilitäts Control"" OR Aufmerksamkeits-Assistent OR Fahrerzustandserkennung OR Müdigkeitserkennung OR Bergabfahrhilfe OR Berganfahrhilfe OR Beschleunigungs-Assistent OR Bremsassistent OR Fahrzeug-Umgebungs-Kommunikation OR ""Elektronische Dämpferregelung"" OR Einparkhilfe* OR Parksensor* OR (Elektromechanisch* OR Elektrohydraulisch*) NEAR/5p angetriebene* NEAR/5p Servolenkung OR ""Elektronische Differentialsperre"" OR ""Elektronische Stabilitätskontrolle"" OR Fahrdynamikregelung OR ""Elektronisches Stabilitätsprogramm"" OR ESP:case sensitive=true OR ""Adaptiver Fernlichtassistent"" OR Geschwindigkeitsregelanlage OR Tempomat OR Abstandsregeltempomat OR ""Automatische Distanzregelung"" OR Stauassistent OR ""Intelligente Geschwindigkeitsassistenz"" OR Geschwindigkeitswarnsystem OR ""Kollisionswarn- und Schutzsystem"" OR Kurvenlicht OR ""Adaptives Frontbeleuchtungssystem"" OR Abbiegelicht OR Motor-Schleppmoment-Regelung OR Nachtsicht-Assistent OR Notbremsassistent OR Abstandswarner OR Notbremssignalisierung OR ""Autonomes Notbremssystem"" OR ""Vorausschauender Notbremsassistent"" OR Nothaltesystem OR Reifendruckkontrollsystem OR Parkdistanzkontrolle OR Scheibenwischer-Automatik OR Regensensor OR Spurerkennungssystem OR Spurhalteassistent OR Spurleitassistent OR Spurverlassenswarner OR Spurwechselassistent  OR Totwinkel-Überwachung OR Spurwechselunterstützung OR Verkehrszeichenerkennung OR Wankneigungskontrolle OR ""Elektronische Überschlagsvermeidung""):language=de;field=title",
Übernahmen,"((""Alfa Romeo"" OR ""Audi"" OR ""BMW"" OR ""Brilliance"" OR ""Chery"" OR ""Chevrolet"" OR ""Chrysler"" OR ""Citroën"" OR ""Dacia"" OR ""Dodge"" OR ""DS"" OR ""FAW"" OR ""Ferrari"" OR ""Fiat"" OR ""Ford"" OR ""Honda"" OR ""Hyundai"" OR ""Kia"" OR ""Lada"" OR ""Lancia"" OR ""Maruti"" OR ""Maserati"" OR ""Mazda"" OR ""Mercedes-Benz"" OR ""Mitsubishi"" OR ""Nissan"" OR ""Opel"" OR ""Porsche"" OR ""Peugeot"" OR ""Renault"" OR ""Seat"" OR ""SAIC"" OR ""Škoda Auto"" OR ""Smart"" OR ""Subaru"" OR ""Suzuki"" OR ""Tata"" OR ""Toyota"" OR ""Volkswagen"" OR ""Volvo"") ↵NEAR/10p ↵(""Alfa Romeo"" OR ""Audi"" OR ""BMW"" OR ""Brilliance"" OR ""Chery"" OR ""Chevrolet"" OR ""Chrysler"" OR ""Citroën"" OR ""Dacia"" OR ""Dodge"" OR ""DS"" OR ""FAW"" OR ""Ferrari"" OR ""Fiat"" OR ""Ford"" OR ""Honda"" OR ""Hyundai"" OR ""Kia"" OR ""Lada"" OR ""Lancia"" OR ""Maruti"" OR ""Maserati"" OR ""Mazda"" OR ""Mercedes-Benz"" OR ""Mitsubishi"" OR ""Nissan"" OR ""Opel"" OR ""Porsche"" OR ""Peugeot"" OR ""Renault"" OR ""Seat"" OR ""SAIC"" OR ""Škoda Auto"" OR ""Smart"" OR ""Subaru"" OR ""Suzuki"" OR ""Tata"" OR ""Toyota"" OR ""Volkswagen"" OR ""Volvo"") ↵NEAR/10p↵(""sichert sich"" OR (kauft OR übernimmt) NEAR/5 von OR ""investiert in"" OR ""beteiligt sich an"")):language=de",
Bosch,"Bosch:language=de;field=title;segment=news,""Press Release""↵↵AND (Auto* OR Fahrzeug* OR automobil* OR Automobilindustrie* OR Autoindustrie* OR Auto-Industrie* OR Automobilhersteller OR PKW OR PKWs)",
Continental,"Continental:language=de;field=title;segment=news,""Press Release""↵↵AND (Auto* OR Fahrzeug* OR automobil* OR Automobilindustrie* OR Autoindustrie* OR Auto-Industrie* OR Automobilhersteller OR PKW OR PKWs)↵↵AND NOT (lincoln NEAR/5 Continental)",
Denso,"Denso:language=de;field=title;segment=news,""Press Release""↵↵AND (Auto* OR Fahrzeug* OR automobil* OR Automobilindustrie* OR Autoindustrie* OR Auto-Industrie* OR Automobilhersteller OR PKW OR PKWs)",
ZF Friedrichshafen,ZF Friedrichshafen:language=de,field=title↵↵AND (Auto* OR Fahrzeug* OR automobil* OR Automobilindustrie* OR Autoindustrie* OR Auto-Industrie* OR Automobilhersteller OR PKW OR PKWs)
Neue Marke DS,"(↵(Auto* OR Fahrzeug* OR automobil* OR Automobilindustrie* OR Autoindustrie* OR Auto-Industrie* OR Automobilhersteller OR PKW OR PKWs OR ""Alfa Romeo"" OR ""Audi"" OR ""BMW"" OR ""Brilliance"" OR ""Chery"" OR ""Chevrolet"" OR ""Chrysler"" OR ""Citroën"" OR ""Dacia"" OR ""Dodge"" OR ""DS"" OR ""FAW"" OR ""Ferrari"" OR ""Fiat"" OR ""Ford"" OR ""Honda"" OR ""Hyundai"" OR ""Kia"" OR ""Lada"" OR ""Lancia"" OR ""Maruti"" OR ""Maserati"" OR ""Mazda"" OR ""Mercedes-Benz"" OR ""Mitsubishi"" OR ""Nissan"" OR ""Opel"" OR ""Porsche"" OR ""Peugeot"" OR ""Renault"" OR ""Seat"" OR ""SAIC"" OR ""Škoda Auto"" OR ""Smart"" OR ""Subaru"" OR ""Suzuki"" OR ""Tata"" OR ""Toyota"" OR ""Volkswagen"" OR ""Volvo"")↵NEAR/5 ↵(DS:case sensitive=true)↵↵):language=de;field=title↵↵AND NOT (nintendo OR wii)",
